chr,ribo,exon,5utr,3utr,intron,non_protein_coding,intergenic
MT,97,51,0,0,0,1,45
Y,0,0,0,0,0,0,0
21,44,7,1,12,7,13,4
13,39,16,4,9,6,1,3
18,34,7,3,10,4,5,5
22,109,32,8,33,12,17,7
20,94,28,8,36,11,7,4
X,79,22,4,19,11,13,10
15,120,40,5,44,13,15,3
10,84,27,10,16,8,10,13
14,93,33,2,29,13,15,1
4,106,41,9,24,9,14,9
9,144,49,9,36,21,16,13
5,127,38,11,28,23,18,9
7,138,33,7,41,13,30,14
16,168,58,10,54,22,14,10
8,95,30,7,29,12,5,12
3,156,49,10,47,22,13,15
6,135,57,7,29,10,15,17
12,139,51,4,50,20,12,2
2,152,54,10,42,17,22,7
17,211,64,6,67,30,21,23
11,175,64,11,44,18,11,27
19,215,68,9,73,29,18,18
1,274,85,16,88,28,35,22
