chr,exon,5utr,3utr,intron,non_protein_coding,intergenic
MT,51,0,0,0,1,45
Y,0,0,0,0,0,0
21,7,1,12,7,13,4
13,16,4,9,6,1,3
18,7,3,10,4,5,5
22,32,8,33,12,17,7
20,28,8,36,11,7,4
X,22,4,19,11,13,10
15,40,5,44,13,15,3
10,27,10,16,8,10,13
14,33,2,29,13,15,1
4,41,9,24,9,14,9
9,49,9,36,21,16,13
5,38,11,28,23,18,9
7,33,7,41,13,30,14
16,58,10,54,22,14,10
8,30,7,29,12,5,12
3,49,10,47,22,13,15
6,57,7,29,10,15,17
12,51,4,50,20,12,2
2,54,10,42,17,22,7
17,64,6,67,30,21,23
11,64,11,44,18,11,27
19,68,9,73,29,18,18
1,85,16,88,28,35,22
