GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj	Chromosome	Start	End	Strand	Feature	Gene name
FBgn0039155	1086.97429520489	-4.14845028403416	0.134948829387581	-30.7409134474192	1.61735684792705e-207	1.38720696846703e-203	chr3R	24141394	24147490	+	protein_coding	Kal1
FBgn0003360	6409.57712820784	-2.9997773951719	0.104345029241678	-28.7486372563467	9.41992240334681e-182	4.03973372267528e-178	chrX	10780892	10786958	-	protein_coding	sesB
FBgn0026562	65114.8405637953	-2.38016406707472	0.0843269155601888	-28.2254372908477	2.85043007617095e-175	8.14937958777275e-172	chr3R	26869237	26871995	-	protein_coding	BM-40-SPARC
FBgn0025111	2192.32236942864	2.69993875598793	0.0979446016456264	27.5659782226343	2.84751721695963e-167	6.10578879246568e-164	chrX	10778953	10786907	-	protein_coding	Ant2
FBgn0029167	5430.06727658048	-2.10506156588697	0.0925465981815751	-22.7459637333926	1.57328358226272e-114	2.69881065701347e-111	chr3L	13846053	13860001	+	protein_coding	Hml
FBgn0039827	390.901782011095	-3.50301273824581	0.160029779075753	-21.8897555097391	3.2525373765654e-106	4.64950217980024e-103	chr3R	31196915	31203722	+	protein_coding	CG1544
FBgn0035085	928.263812261588	-2.41407409993288	0.115185159822598	-20.9582041961907	1.57934011726462e-97	1.93514288368267e-94	chr2R	24945138	24946636	+	protein_coding	CG3770
FBgn0034736	330.38302328757	-3.01817948857211	0.158154082398948	-19.0837912167116	3.44350902872835e-81	3.69187211742538e-78	chr2R	22550093	22552113	+	protein_coding	CG6018
FBgn0264475	955.454453674265	-2.33448626791321	0.124230027463002	-18.7916425327079	8.84004663980331e-79	8.42456444773256e-76	chr3L	820758	821512	+	lincRNA	CR43883
FBgn0000071	468.057925667952	2.36001729408393	0.135643959705533	17.3986169322043	8.45190664403691e-68	7.24920032859045e-65	chr3R	6762592	6765261	+	protein_coding	Ama
FBgn0029896	708.938170145817	-2.20240485413471	0.128294432957533	-17.1667998631221	4.70663756197409e-66	3.6698936699138e-63	chrX	6720003	6739986	-	protein_coding	CG3168
FBgn0038832	429.850329748409	-2.34071122537723	0.154836489720349	-15.1173100708031	1.24526353605667e-51	8.90052112396506e-49	chr3R	20842139	20844981	+	protein_coding	CG15695
FBgn0037754	394.464100332039	-2.07199370367877	0.144940669879319	-14.2954610697188	2.33553828219306e-46	1.5409162958746e-43	chr3R	9784652	9789323	+	protein_coding	CG8500
FBgn0264753	170.064179570852	-2.59345820217193	0.181963919082885	-14.2525958730895	4.31922363610259e-46	2.64614150906085e-43	chr2R	19311147	19356525	-	protein_coding	Rgk1
FBgn0034897	1340.88978023299	-1.79510651620717	0.126292032608441	-14.2139332080652	7.50869584165243e-46	4.29347228225686e-43	chr2R	23713899	23734846	+	protein_coding	Sesn
FBgn0035189	307.044836616	2.42860699449517	0.172849282149415	14.0504314758787	7.65661145407335e-45	4.10442227759919e-42	chr3L	1203315	1204795	-	protein_coding	CG9119
FBgn0011260	291.046800019107	1.9674609482653	0.144441833573098	13.6211296934944	2.99892592674049e-42	1.51304633374431e-39	chr2R	16500177	16533459	+	protein_coding	Sema-2a
FBgn0027279	4342.46222938062	-1.16556778739346	0.0860264386377106	-13.5489485075873	8.03731964706209e-42	3.82978281182509e-39	chrX	22487179	22508129	+	protein_coding	l(1)G0196
FBgn0040099	1269.36257331921	-1.6542433293094	0.123150546732398	-13.4326917192176	3.89010171321498e-41	1.75607381022342e-38	chr2L	7857076	7860120	+	protein_coding	lectin-28C
FBgn0024288	86.5827933670693	-2.86781850741641	0.214876856429983	-13.3463349895519	1.24421445995591e-40	5.33581371152091e-38	chr3R	31065252	31083407	+	protein_coding	Sox100B
FBgn0001226	1764.7869878867	1.56713549641558	0.117953762786079	13.2860152944653	2.7904757602555e-40	1.13971002836721e-37	chr3L	9384062	9385694	+	protein_coding	Hsp27
FBgn0085359	101.004767343504	-2.90913557819378	0.219771868886746	-13.2370698439705	5.35994781258273e-40	2.08964874493282e-37	chrX	19068274	19068973	-	protein_coding	CG34330
FBgn0040091	1618.13816430751	-1.47305268328988	0.112465129861578	-13.0978614002662	3.38666346679512e-39	1.26293098063921e-36	chr2R	22641785	22643917	-	protein_coding	Ugt58Fa
FBgn0262733	551.049205466041	1.85754999447399	0.143393170421681	12.9542431415069	2.22317942026055e-38	7.94508745315616e-36	chr3L	4592446	4626196	-	protein_coding	Src64B
FBgn0023479	4584.75321807884	-1.44785740804625	0.111861358261852	-12.9433204686914	2.56307421799338e-38	8.79339502709168e-36	chr3L	9074642	9092131	+	protein_coding	Tequila
FBgn0052407	285.534784670639	-1.86794068697387	0.148210942701292	-12.6032575795606	2.02600616127771e-36	6.68348263279958e-34	chr3L	5922054	5923567	+	protein_coding	CG32407
FBgn0051092	230.574621771462	1.95080029669062	0.156436819459	12.4702119580097	1.08536967009882e-35	3.44785765201393e-33	chr3R	25698726	25740465	-	protein_coding	LpR2
FBgn0039419	2681.64820004943	-1.11967741068592	0.0904723143107877	-12.375912114281	3.5286270739771e-35	1.08089408619649e-32	chr3R	26230247	26234700	+	protein_coding	CG12290
FBgn0261552	8903.62977454312	-1.63112304990859	0.133140318173695	-12.2511578181796	1.65614444963257e-34	4.89818998086158e-32	chr3R	9417939	9455500	+	protein_coding	ps
FBgn0034010	781.852495028266	-1.36781209247544	0.114824474458619	-11.9121998940077	1.02243623355984e-32	2.92314519174758e-30	chr2R	15325502	15326386	-	protein_coding	CG8157
FBgn0261673	95.3388983190457	2.40798632386781	0.203299363286732	11.8445345078213	2.29690153982916e-32	6.35500790552088e-30	chr2R	12659496	12670219	-	protein_coding	nemy
